"Label",""
"Time(s)","CH2"
"0.0","667"
"0.001567398119122257","666"
"0.003134796238244514","667"
"0.0047021943573667714","635"
"0.006269592476489028","585"
"0.0078369905956112845","473"
"0.0094043887147335428","432"
"0.010971786833855799","414"
"0.012539184952978056","416"
"0.014106583072100312","517"
"0.015673981191222569","622"
"0.017241379310344827","669"
"0.018808777429467086","664"
"0.02037617554858934","665"
"0.021943573667711599","612"
"0.023510971786833854","558"
"0.025078369905956112","455"
"0.02664576802507837","413"
"0.028213166144200625","417"
"0.029780564263322883","474"
"0.031347962382445138","558"
"0.032915360501567396","669"
"0.034482758620689655","668"
"0.036050156739811913","663"
"0.037617554858934171","637"
"0.039184952978056423","593"
"0.040752351097178681","459"
"0.042319749216300939","418"
"0.043887147335423198","411"
"0.045454545454545456","415"
"0.047021943573667707","519"
"0.048589341692789965","645"
"0.050156739811912224","666"
"0.051724137931034482","667"
"0.05329153605015674","655"
"0.054858934169278992","607"
"0.05642633228840125","526"
"0.057993730407523508","454"
"0.059561128526645767","414"
"0.061128526645768025","413"
"0.062695924764890276","489"
"0.064263322884012541","569"
"0.065830721003134793","669"
"0.067398119122257044","668"
"0.068965517241379309","663"
"0.070532915360501561","611"
"0.072100313479623826","573"
"0.073667711598746077","456"
"0.075235109717868343","408"
"0.076802507836990594","414"
"0.078369905956112845","413"
"0.079937304075235111","527"
"0.081504702194357362","660"
"0.083072100313479627","669"
"0.084639498432601878","660"
"0.08620689655172413","661"
"0.087774294670846395","611"
"0.089341692789968646","502"
"0.090909090909090912","448"
"0.092476489028213163","414"
"0.094043887147335414","413"
"0.09561128526645768","491"
"0.097178683385579931","574"
"0.098746081504702196","670"
"0.10031347962382445","667"
"0.1018808777429467","663"
"0.10344827586206896","609"
"0.10501567398119122","562"
"0.10658307210031348","455"
"0.10815047021943573","414"
"0.10971786833855798","412"
"0.11128526645768025","418"
"0.1128526645768025","524"
"0.11442006269592477","677"
"0.11598746081504702","667"
"0.11755485893416927","665"
"0.11912225705329153","663"
"0.12068965517241378","614"
"0.12225705329153605","491"
"0.1238244514106583","449"
"0.12539184952978055","412"
"0.12695924764890282","410"
"0.12852664576802508","512"
"0.13009404388714732","608"
"0.13166144200626959","663"
"0.13322884012539185","667"
"0.13479623824451409","661"
"0.13636363636363635","612"
"0.13793103448275862","564"
"0.13949843260188088","458"
"0.14106583072100312","412"
"0.14263322884012539","412"
"0.14420062695924765","443"
"0.14576802507836989","537"
"0.14733542319749215","670"
"0.14890282131661442","667"
"0.15047021943573669","663"
"0.15203761755485892","649"
"0.15360501567398119","601"
"0.15517241379310345","476"
"0.15673981191222569","431"
"0.15830721003134796","414"
"0.15987460815047022","415"
"0.16144200626959246","521"
"0.16300940438871472","619"
"0.16457680250783699","669"
"0.16614420062695925","661"
"0.16771159874608149","658"
"0.16927899686520376","611"
"0.17084639498432602","553"
"0.17241379310344826","458"
"0.17398119122257052","417"
"0.17554858934169279","412"
"0.17711598746081503","468"
"0.17868338557993729","561"
"0.18025078369905956","668"
"0.18181818181818182","664"
"0.18338557993730406","660"
"0.18495297805642633","655"
"0.18652037617554859","603"
"0.18808777429467083","458"
"0.18965517241379309","423"
"0.19122257053291536","414"
"0.1927899686520376","418"
"0.19435736677115986","517"
"0.19592476489028213","640"
"0.19749216300940439","670"
