Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-1.993800e+01,1.96,0.06,0
-1.993760e+01,1.96,0.06,-0.02
-1.993720e+01,2,0.04,0
-1.993680e+01,1.96,0.04,0
-1.993640e+01,2,0.06,0
-1.993600e+01,1.96,0.06,-0.02
-1.993560e+01,2,0.04,0
-1.993520e+01,1.96,0.04,0
-1.993480e+01,2,0.04,0
-1.993440e+01,2,0.06,0
-1.993400e+01,2,0.04,0
-1.993360e+01,2,0.04,-0.02
-1.993320e+01,2,0.06,0
-1.993280e+01,2,0.04,0
-1.993240e+01,2,0.06,0
-1.993200e+01,2.04,0.04,-0.02
-1.993160e+01,2,0.04,0
-1.993120e+01,2.04,0.04,0
-1.993080e+01,1.96,0.04,-0.02
-1.993040e+01,2,0,0
-1.993000e+01,2,0.04,-0.02
-1.992960e+01,2,0.04,0
-1.992920e+01,1.96,0.04,0
-1.992880e+01,2,0.04,-0.02
-1.992840e+01,2.04,0,-0.02
-1.992800e+01,1.96,0.04,-0.02
-1.992760e+01,2,0,-0.02
-1.992720e+01,1.96,0.02,-0.04
-1.992680e+01,2,0.02,-0.02
-1.992640e+01,1.96,0.02,0
-1.992600e+01,1.96,0.02,-0.02
-1.992560e+01,2,0.02,0
-1.992520e+01,2,-0.02,-0.02
-1.992480e+01,1.96,0,-0.02
-1.992440e+01,2,0.02,-0.02
-1.992400e+01,2,0.04,0
-1.992360e+01,2,0,-0.02
-1.992320e+01,2,0,0
-1.992280e+01,1.96,0,-0.04
-1.992240e+01,1.96,0,0
-1.992200e+01,1.96,0.02,-0.02
-1.992160e+01,2,0,0
-1.992120e+01,1.96,0.02,-0.02
-1.992080e+01,1.96,0,0
-1.992040e+01,2,0,0
-1.992000e+01,2.04,0.02,-0.02
-1.991960e+01,2,0.02,-0.02
-1.991920e+01,2,0.02,-0.02
-1.991880e+01,2,0,0
-1.991840e+01,1.96,0,-0.02
-1.991800e+01,2.04,0,-0.02
-1.991760e+01,1.96,0,-0.02
-1.991720e+01,2,0.02,0
-1.991680e+01,2.04,0,0
-1.991640e+01,1.96,0.02,-0.02
-1.991600e+01,2,0,0
-1.991560e+01,2,-0.02,0
-1.991520e+01,1.96,0,0
-1.991480e+01,2,0,0
-1.991440e+01,2.04,0,0
-1.991400e+01,2,-0.02,0
-1.991360e+01,2,-0.02,0
-1.991320e+01,2,0,0
-1.991280e+01,1.92,0,0
-1.991240e+01,2,0,-0.02
-1.991200e+01,2,0,-0.02
-1.991160e+01,1.96,0,-0.02
-1.991120e+01,2,-0.02,-0.04
-1.991080e+01,2.04,0,-0.02
-1.991040e+01,2,-0.02,-0.02
-1.991000e+01,2.04,-0.02,0
-1.990960e+01,1.96,0,0
-1.990920e+01,2.04,-0.02,0
-1.990880e+01,1.96,-0.02,0
-1.990840e+01,2,-0.02,-0.02
-1.990800e+01,2,-0.02,-0.04
