Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-8.549200e+00,2,-0.04,0.06
-8.548800e+00,2,-0.06,0.06
-8.548400e+00,1.96,-0.04,0.06
-8.548000e+00,2.04,-0.02,0.08
-8.547600e+00,2,-0.04,0.08
-8.547200e+00,2,-0.04,0.06
-8.546800e+00,1.96,-0.04,0.06
-8.546400e+00,2,-0.04,0.08
-8.546000e+00,2.04,-0.06,0.06
-8.545600e+00,2,-0.04,0.06
-8.545200e+00,2.04,-0.02,0.06
-8.544800e+00,2.04,-0.04,0.1
-8.544400e+00,2.04,-0.02,0.06
-8.544000e+00,2,-0.02,0.06
-8.543600e+00,2.08,-0.02,0.08
-8.543200e+00,2,-0.04,0.06
-8.542800e+00,2,-0.04,0.06
-8.542400e+00,2,-0.04,0.08
-8.542000e+00,1.96,-0.04,0.08
-8.541600e+00,2,-0.06,0.06
-8.541200e+00,2,-0.04,0.08
-8.540800e+00,2,-0.06,0.06
-8.540400e+00,2,-0.02,0.06
-8.540000e+00,1.96,-0.06,0.06
-8.539600e+00,2,-0.04,0.08
-8.539200e+00,2.04,-0.04,0.06
-8.538800e+00,2.04,-0.04,0.06
-8.538400e+00,1.96,-0.02,0.08
-8.538000e+00,1.92,-0.04,0.06
-8.537600e+00,2,-0.04,0.06
-8.537200e+00,2,-0.04,0.06
-8.536800e+00,2,-0.04,0.06
-8.536400e+00,2,-0.02,0.06
-8.536000e+00,2,-0.06,0.06
-8.535600e+00,2,-0.02,0.06
-8.535200e+00,2,-0.04,0.06
-8.534800e+00,2,-0.02,0.08
-8.534400e+00,2,-0.02,0.08
-8.534000e+00,2,-0.04,0.06
-8.533600e+00,2,-0.06,0.06
-8.533200e+00,2.04,-0.04,0.08
-8.532800e+00,2,-0.04,0.06
-8.532400e+00,2,-0.04,0.06
-8.532000e+00,2,-0.04,0.06
-8.531600e+00,2,-0.02,0.06
-8.531200e+00,1.96,-0.04,0.06
-8.530800e+00,2.04,-0.04,0.06
-8.530400e+00,2.04,-0.04,0.06
-8.530000e+00,2.04,-0.04,0.06
-8.529600e+00,2,-0.04,0.06
-8.529200e+00,2,-0.02,0.08
-8.528800e+00,1.96,-0.04,0.08
-8.528400e+00,2,-0.04,0.08
-8.528000e+00,2,-0.04,0.06
-8.527600e+00,2,-0.04,0.06
-8.527200e+00,1.96,-0.06,0.06
-8.526800e+00,2,-0.08,0.08
-8.526400e+00,1.96,-0.02,0.08
-8.526000e+00,2,-0.06,0.08
-8.525600e+00,2.04,-0.04,0.04
-8.525200e+00,1.96,-0.06,0.06
-8.524800e+00,2,-0.02,0.06
-8.524400e+00,1.96,-0.04,0.08
-8.524000e+00,1.96,-0.06,0.08
-8.523600e+00,2.04,-0.04,0.06
-8.523200e+00,2,-0.04,0.06
-8.522800e+00,1.96,-0.06,0.06
-8.522400e+00,2,-0.04,0.08
-8.522000e+00,2.08,-0.04,0.04
-8.521600e+00,2.04,-0.04,0.06
-8.521200e+00,2,-0.04,0.06
-8.520800e+00,2,-0.06,0.08
-8.520400e+00,2.04,-0.04,0.08
-8.520000e+00,2,-0.06,0.06
-8.519600e+00,2,-0.04,0.06
-8.519200e+00,2,-0.04,0.06
-8.518800e+00,2.04,-0.04,0.06
-8.518400e+00,1.96,-0.06,0.06
-8.518000e+00,2,-0.02,0.06
-8.517600e+00,1.96,-0.04,0.08
-8.517200e+00,1.96,-0.02,0.06
-8.516800e+00,2.04,-0.04,0.06
-8.516400e+00,1.96,-0.04,0.06
-8.516000e+00,2.04,-0.04,0.06
-8.515600e+00,1.96,-0.04,0.06
-8.515200e+00,2,-0.06,0.1
-8.514800e+00,2.04,-0.04,0.06
-8.514400e+00,2,-0.04,0.08
-8.514000e+00,2,-0.02,0.06
-8.513600e+00,2,-0.04,0.04
-8.513200e+00,1.96,-0.04,0.06
-8.512800e+00,1.96,-0.06,0.04
-8.512400e+00,2,-0.04,0.08
-8.512000e+00,1.96,-0.04,0.06
-8.511600e+00,2.04,-0.06,0.06
-8.511200e+00,2,-0.06,0.04
-8.510800e+00,1.96,-0.04,0.06
-8.510400e+00,2,-0.04,0.06
-8.510000e+00,1.96,-0.04,0.1
-8.509600e+00,2,-0.04,0.08
-8.509200e+00,1.96,-0.04,0.06
-8.508800e+00,1.96,-0.04,0.08
-8.508400e+00,2,-0.04,0.06
-8.508000e+00,2.04,-0.06,0.06
-8.507600e+00,2.04,-0.04,0.06
-8.507200e+00,2,-0.02,0.08
-8.506800e+00,2,-0.02,0.06
-8.506400e+00,2,-0.04,0.08
-8.506000e+00,2,-0.04,0.06
-8.505600e+00,1.96,-0.04,0.06
-8.505200e+00,1.96,-0.06,0.08
-8.504800e+00,2.04,-0.02,0.06
-8.504400e+00,2,-0.04,0.06
-8.504000e+00,1.96,-0.06,0.06
-8.503600e+00,2,-0.04,0.06
-8.503200e+00,2,-0.06,0.06
-8.502800e+00,2,-0.04,0.06
-8.502400e+00,2,-0.04,0.08
-8.502000e+00,2,-0.04,0.08
-8.501600e+00,1.96,-0.04,0.06
-8.501200e+00,2.04,-0.06,0.06
-8.500800e+00,1.96,-0.02,0.06
-8.500400e+00,2.04,-0.04,0.06
-8.500000e+00,2,-0.06,0.06
-8.499600e+00,2.04,-0.04,0.08
-8.499200e+00,1.96,-0.02,0.06
-8.498800e+00,1.96,-0.04,0.06
-8.498400e+00,1.96,-0.04,0.1
-8.498000e+00,2,-0.04,0.06
-8.497600e+00,2,-0.04,0.04
-8.497200e+00,2,-0.04,0.08
-8.496800e+00,1.96,-0.02,0.08
-8.496400e+00,2,-0.04,0.08
-8.496000e+00,1.96,-0.04,0.08
-8.495600e+00,2,-0.04,0.08
-8.495200e+00,2,-0.06,0.06
-8.494800e+00,2,-0.02,0.06
-8.494400e+00,1.96,-0.06,0.06
-8.494000e+00,1.96,-0.06,0.06
-8.493600e+00,2,-0.04,0.06
-8.493200e+00,2,-0.04,0.08
-8.492800e+00,2,-0.04,0.06
-8.492400e+00,2,-0.06,0.06
-8.492000e+00,2,-0.04,0.06
-8.491600e+00,2.04,-0.04,0.06
-8.491200e+00,2,-0.02,0.08
-8.490800e+00,1.96,-0.06,0.06
-8.490400e+00,2,-0.04,0.08
-8.490000e+00,2,-0.06,0.06
-8.489600e+00,2,-0.06,0.08
-8.489200e+00,2,-0.04,0.06
-8.488800e+00,2,-0.06,0.08
-8.488400e+00,1.96,-0.06,0.06
-8.488000e+00,1.96,-0.06,0.04
-8.487600e+00,2,-0.08,0.08
-8.487200e+00,2,-0.06,0.08
-8.486800e+00,1.96,-0.04,0.06
-8.486400e+00,2,-0.04,0.08
-8.486000e+00,2,-0.04,0.08
-8.485600e+00,2,-0.06,0.06
-8.485200e+00,2.04,-0.02,0.06
-8.484800e+00,2,-0.02,0.06
-8.484400e+00,1.96,-0.02,0.1
-8.484000e+00,2,-0.06,0.04
-8.483600e+00,2,-0.04,0.06
-8.483200e+00,2,-0.06,0.08
-8.482800e+00,2,-0.04,0.06
-8.482400e+00,1.96,-0.04,0.04
-8.482000e+00,2.04,-0.06,0.06
-8.481600e+00,2.04,-0.02,0.06
-8.481200e+00,1.96,-0.04,0.08
-8.480800e+00,2,-0.02,0.06
-8.480400e+00,2,-0.04,0.06
-8.480000e+00,2,-0.04,0.08
-8.479600e+00,2.04,-0.02,0.06
-8.479200e+00,2,-0.06,0.08
-8.478800e+00,2,-0.02,0.08
-8.478400e+00,2,-0.04,0.08
-8.478000e+00,1.96,-0.04,0.06
-8.477600e+00,2,-0.06,0.06
-8.477200e+00,2,-0.04,0.08
-8.476800e+00,2,-0.04,0.06
-8.476400e+00,2,-0.04,0.08
-8.476000e+00,2,-0.04,0.06
-8.475600e+00,2,-0.04,0.06
-8.475200e+00,1.96,-0.04,0.08
-8.474800e+00,2,-0.06,0.08
-8.474400e+00,2,-0.06,0.06
-8.474000e+00,2,-0.06,0.06
-8.473600e+00,1.96,-0.04,0.08
-8.473200e+00,2,-0.02,0.06
-8.472800e+00,2,-0.04,0.06
-8.472400e+00,1.96,-0.04,0.06
-8.472000e+00,2,-0.04,0.08
-8.471600e+00,2,-0.02,0.08
-8.471200e+00,2.04,-0.02,0.06
-8.470800e+00,2,-0.04,0.08
-8.470400e+00,2,-0.02,0.06
-8.470000e+00,2,-0.04,0.08
-8.469600e+00,2.04,-0.04,0.08
-8.469200e+00,2,-0.04,0.08
-8.468800e+00,2,-0.06,0.06
-8.468400e+00,2,-0.04,0.08
-8.468000e+00,2,-0.06,0.06
-8.467600e+00,2,-0.04,0.06
-8.467200e+00,2,-0.02,0.06
-8.466800e+00,1.96,-0.02,0.08
-8.466400e+00,1.96,-0.04,0.06
-8.466000e+00,2.04,-0.04,0.06
-8.465600e+00,2.04,-0.06,0.08
-8.465200e+00,2.04,-0.02,0.06
-8.464800e+00,1.96,-0.04,0.06
-8.464400e+00,2,-0.06,0.06
-8.464000e+00,1.96,-0.04,0.06
-8.463600e+00,2,-0.02,0.04
-8.463200e+00,2.04,-0.04,0.06
-8.462800e+00,1.96,-0.02,0.06
-8.462400e+00,2,-0.04,0.08
-8.462000e+00,2,-0.04,0.06
-8.461600e+00,2,-0.06,0.06
-8.461200e+00,2,-0.04,0.06
-8.460800e+00,2,-0.06,0.08
-8.460400e+00,2,-0.02,0.06
-8.460000e+00,1.96,-0.02,0.08
-8.459600e+00,1.96,-0.04,0.06
-8.459200e+00,2.04,-0.06,0.08
-8.458800e+00,2,-0.06,0.06
-8.458400e+00,1.96,-0.06,0.08
-8.458000e+00,2,-0.08,0.06
-8.457600e+00,2,-0.04,0.06
-8.457200e+00,1.96,-0.04,0.08
-8.456800e+00,2,-0.02,0.06
-8.456400e+00,2,-0.04,0.08
-8.456000e+00,2,-0.06,0.08
-8.455600e+00,2,-0.04,0.06
-8.455200e+00,2,-0.04,0.06
-8.454800e+00,2,-0.06,0.06
-8.454400e+00,2,-0.02,0.06
-8.454000e+00,1.96,-0.04,0.06
-8.453600e+00,2.04,-0.04,0.08
-8.453200e+00,2,-0.06,0.08
-8.452800e+00,2,-0.04,0.08
-8.452400e+00,2,-0.06,0.08
-8.452000e+00,1.96,-0.06,0.08
-8.451600e+00,2,-0.04,0.06
-8.451200e+00,2,-0.04,0.06
-8.450800e+00,2,-0.06,0.08
-8.450400e+00,2,-0.04,0.08
-8.450000e+00,2.04,-0.04,0.08
-8.449600e+00,2,-0.04,0.1
-8.449200e+00,2,-0.06,0.08
-8.448800e+00,2,-0.02,0.06
-8.448400e+00,2.04,-0.04,0.08
-8.448000e+00,2,-0.04,0.06
-8.447600e+00,2,-0.04,0.04
-8.447200e+00,2,-0.06,0.06
-8.446800e+00,2.04,-0.08,0.02
-8.446400e+00,2,-0.04,0.06
-8.446000e+00,2,-0.04,0.08
-8.445600e+00,2,-0.04,0.08
-8.445200e+00,1.96,-0.04,0.06
-8.444800e+00,2,-0.04,0.06
-8.444400e+00,2.04,-0.04,0.06
-8.444000e+00,2,-0.06,0.08
-8.443600e+00,2.04,-0.02,0.06
-8.443200e+00,2,-0.04,0.08
-8.442800e+00,2,-0.04,0.06
-8.442400e+00,1.96,-0.08,0.06
-8.442000e+00,2,-0.06,0.08
-8.441600e+00,2,-0.04,0.06
-8.441200e+00,2.04,-0.04,0.08
-8.440800e+00,2,-0.04,0.08
-8.440400e+00,1.96,-0.06,0.06
-8.440000e+00,2.04,-0.06,0.08
-8.439600e+00,1.96,-0.06,0.06
-8.439200e+00,1.96,-0.02,0.08
-8.438800e+00,2,-0.06,0.08
-8.438400e+00,2,-0.04,0.06
-8.438000e+00,2,-0.04,0.06
-8.437600e+00,2,-0.04,0.08
-8.437200e+00,2,-0.02,0.06
-8.436800e+00,2,-0.04,0.06
-8.436400e+00,2,-0.04,0.08
-8.436000e+00,2.08,-0.04,0.06
-8.435600e+00,1.96,-0.04,0.06
-8.435200e+00,2.04,-0.02,0.08
-8.434800e+00,2,-0.04,0.06
-8.434400e+00,1.96,-0.02,0.06
-8.434000e+00,1.96,-0.04,0.06
-8.433600e+00,2,-0.04,0.08
-8.433200e+00,2,-0.06,0.06
-8.432800e+00,2,-0.06,0.08
-8.432400e+00,2,-0.04,0.06
-8.432000e+00,1.96,-0.06,0.06
-8.431600e+00,2,-0.06,0.06
-8.431200e+00,1.96,-0.06,0.06
-8.430800e+00,2,-0.02,0.06
-8.430400e+00,1.96,-0.04,0.06
-8.430000e+00,2,-0.04,0.06
-8.429600e+00,2,-0.04,0.06
-8.429200e+00,2,-0.02,0.04
-8.428800e+00,2,-0.02,0.06
-8.428400e+00,2,-0.04,0.06
-8.428000e+00,2.04,-0.04,0.06
-8.427600e+00,2.04,-0.04,0.06
-8.427200e+00,2,-0.04,0.08
-8.426800e+00,2,-0.04,0.06
-8.426400e+00,2.04,-0.02,0.08
-8.426000e+00,2,-0.06,0.06
-8.425600e+00,2,-0.04,0.08
-8.425200e+00,2,-0.04,0.04
-8.424800e+00,1.96,-0.04,0.04
-8.424400e+00,2,-0.04,0.08
-8.424000e+00,2.04,-0.04,0.06
-8.423600e+00,2,-0.04,0.06
-8.423200e+00,2,-0.06,0.08
-8.422800e+00,2,-0.04,0.06
-8.422400e+00,2,-0.02,0.06
-8.422000e+00,2.04,-0.04,0.06
-8.421600e+00,2.04,-0.04,0.06
-8.421200e+00,2,-0.04,0.06
-8.420800e+00,2.04,-0.04,0.08
-8.420400e+00,2,-0.04,0.08
-8.420000e+00,2,-0.04,0.08
-8.419600e+00,2,-0.06,0.06
-8.419200e+00,1.96,-0.02,0.04
-8.418800e+00,2,-0.08,0.06
-8.418400e+00,2,-0.06,0.06
-8.418000e+00,2,-0.04,0.08
-8.417600e+00,1.92,-0.04,0.06
-8.417200e+00,2.04,-0.06,0.06
-8.416800e+00,1.96,-0.02,0.06
-8.416400e+00,1.96,-0.04,0.06
-8.416000e+00,2,-0.04,0.06
-8.415600e+00,2,-0.06,0.06
-8.415200e+00,2,-0.02,0.06
-8.414800e+00,2,-0.04,0.06
-8.414400e+00,2,-0.04,0.06
-8.414000e+00,2.04,-0.06,0.06
-8.413600e+00,2,-0.04,0.08
-8.413200e+00,2,-0.04,0.08
-8.412800e+00,1.96,-0.06,0.06
-8.412400e+00,2,-0.04,0.06
-8.412000e+00,2,-0.04,0.08
-8.411600e+00,2,-0.04,0.08
-8.411200e+00,1.96,-0.06,0.06
-8.410800e+00,2.04,-0.04,0.08
-8.410400e+00,2,-0.02,0.06
-8.410000e+00,2,-0.04,0.06
-8.409600e+00,2,-0.06,0.06
-8.409200e+00,1.96,-0.04,0.06
-8.408800e+00,1.96,-0.02,0.06
-8.408400e+00,2,-0.04,0.06
-8.408000e+00,2,-0.04,0.06
-8.407600e+00,2,-0.04,0.04
-8.407200e+00,2,-0.02,0.06
-8.406800e+00,1.96,-0.04,0.06
-8.406400e+00,2,-0.04,0.06
-8.406000e+00,1.96,-0.04,0.1
-8.405600e+00,2,-0.06,0.06
-8.405200e+00,2.04,-0.04,0.06
-8.404800e+00,1.96,-0.06,0.06
-8.404400e+00,2,-0.06,0.06
-8.404000e+00,2,-0.04,0.06
-8.403600e+00,2.04,-0.02,0.06
-8.403200e+00,1.96,-0.04,0.06
-8.402800e+00,1.96,-0.06,0.06
-8.402400e+00,2.04,-0.04,0.04
-8.402000e+00,2,-0.02,0.08
-8.401600e+00,2,-0.06,0.06
-8.401200e+00,2.04,-0.04,0.08
-8.400800e+00,2,-0.04,0.06
-8.400400e+00,2.04,-0.04,0.06
-8.400000e+00,2,-0.04,0.06
-8.399600e+00,1.96,-0.06,0.06
-8.399200e+00,2,-0.04,0.06
-8.398800e+00,2,-0.04,0.08
-8.398400e+00,2,-0.04,0.08
-8.398000e+00,2,-0.02,0.08
-8.397600e+00,2,-0.04,0.06
-8.397200e+00,2.04,-0.06,0.06
-8.396800e+00,2,-0.04,0.04
-8.396400e+00,2,-0.04,0.06
-8.396000e+00,2,-0.04,0.06
-8.395600e+00,2.04,-0.04,0.06
-8.395200e+00,1.96,-0.02,0.04
-8.394800e+00,2,-0.04,0.08
-8.394400e+00,2.04,-0.04,0.06
-8.394000e+00,2,-0.06,0.08
-8.393600e+00,2,-0.04,0.04
-8.393200e+00,2,-0.04,0.06
-8.392800e+00,2,-0.04,0.06
-8.392400e+00,2,-0.04,0.08
-8.392000e+00,1.96,-0.04,0.08
-8.391600e+00,2,-0.06,0.08
-8.391200e+00,1.96,-0.06,0.06
-8.390800e+00,2,-0.04,0.06
-8.390400e+00,1.96,-0.06,0.08
-8.390000e+00,1.96,-0.08,0.06
-8.389600e+00,2,-0.02,0.06
-8.389200e+00,2,-0.02,0.06
-8.388800e+00,2,-0.04,0.08
-8.388400e+00,1.96,-0.06,0.06
-8.388000e+00,2.04,-0.06,0.06
-8.387600e+00,1.96,-0.02,0.06
-8.387200e+00,2.04,-0.04,0.06
-8.386800e+00,2.04,-0.02,0.08
-8.386400e+00,2.04,-0.04,0.08
-8.386000e+00,2,-0.04,0.08
-8.385600e+00,2,-0.04,0.06
-8.385200e+00,2.04,-0.06,0.04
-8.384800e+00,1.96,-0.06,0.06
-8.384400e+00,2,-0.06,0.08
-8.384000e+00,2,-0.06,0.08
-8.383600e+00,2,-0.04,0.06
-8.383200e+00,2,-0.02,0.06
-8.382800e+00,1.96,-0.02,0.08
-8.382400e+00,2,-0.06,0.06
-8.382000e+00,2,-0.04,0.08
-8.381600e+00,1.96,-0.06,0.06
-8.381200e+00,1.96,-0.04,0.06
-8.380800e+00,2.04,-0.04,0.06
-8.380400e+00,2.04,-0.02,0.06
-8.380000e+00,2,-0.04,0.06
-8.379600e+00,2,-0.04,0.08
-8.379200e+00,1.96,-0.04,0.06
-8.378800e+00,2,-0.06,0.06
-8.378400e+00,2,-0.06,0.06
-8.378000e+00,2.04,-0.04,0.08
-8.377600e+00,2,-0.06,0.06
-8.377200e+00,2,-0.02,0.06
-8.376800e+00,2.04,-0.06,0.06
-8.376400e+00,1.96,-0.04,0.06
-8.376000e+00,2,-0.06,0.06
-8.375600e+00,1.96,-0.06,0.06
-8.375200e+00,2,-0.04,0.06
-8.374800e+00,1.96,-0.06,0.06
-8.374400e+00,2,-0.06,0.06
-8.374000e+00,2.04,-0.02,0.08
-8.373600e+00,2.04,-0.04,0.06
-8.373200e+00,1.96,-0.06,0.08
-8.372800e+00,2.04,-0.04,0.08
-8.372400e+00,2,-0.04,0.08
-8.372000e+00,2.04,-0.04,0.08
-8.371600e+00,1.96,-0.04,0.06
-8.371200e+00,2,-0.04,0.08
-8.370800e+00,1.96,-0.04,0.08
-8.370400e+00,1.96,-0.04,0.06
-8.370000e+00,2.04,-0.04,0.06
-8.369600e+00,2,-0.04,0.06
-8.369200e+00,2,-0.04,0.06
-8.368800e+00,2,-0.06,0.06
-8.368400e+00,2,-0.04,0.08
-8.368000e+00,1.96,-0.06,0.06
-8.367600e+00,2,-0.06,0.06
-8.367200e+00,1.96,-0.06,0.08
-8.366800e+00,2,-0.04,0.06
-8.366400e+00,2,-0.04,0.08
-8.366000e+00,2,-0.04,0.06
-8.365600e+00,2,-0.04,0.08
-8.365200e+00,1.96,-0.04,0.06
-8.364800e+00,1.96,-0.02,0.08
-8.364400e+00,2,-0.04,0.06
-8.364000e+00,2,-0.04,0.06
-8.363600e+00,2.04,-0.08,0.08
-8.363200e+00,2,-0.04,0.06
-8.362800e+00,2.04,-0.02,0.08
-8.362400e+00,1.96,-0.06,0.08
-8.362000e+00,2.04,-0.06,0.06
-8.361600e+00,1.96,-0.04,0.06
-8.361200e+00,2,-0.08,0.06
-8.360800e+00,2,-0.04,0.08
-8.360400e+00,2.08,-0.06,0.06
-8.360000e+00,1.96,-0.04,0.04
-8.359600e+00,2,-0.06,0.06
-8.359200e+00,2,-0.06,0.06
-8.358800e+00,2,-0.04,0.06
-8.358400e+00,2,-0.04,0.08
-8.358000e+00,2.04,-0.06,0.08
-8.357600e+00,1.96,-0.06,0.06
-8.357200e+00,2.04,-0.04,0.08
-8.356800e+00,1.96,-0.04,0.08
-8.356400e+00,2,-0.04,0.06
-8.356000e+00,2,-0.02,0.06
-8.355600e+00,2,-0.04,0.04
-8.355200e+00,2,-0.04,0.04
-8.354800e+00,2,-0.06,0.08
-8.354400e+00,2.08,-0.06,0.06
-8.354000e+00,2.04,-0.02,0.08
-8.353600e+00,1.96,-0.04,0.08
-8.353200e+00,2,-0.02,0.06
-8.352800e+00,1.96,-0.04,0.06
-8.352400e+00,1.96,-0.06,0.08
-8.352000e+00,2,-0.02,0.06
-8.351600e+00,1.96,-0.04,0.08
-8.351200e+00,2.04,-0.04,0.08
-8.350800e+00,2,-0.04,0.06
-8.350400e+00,2,-0.04,0.06
-8.350000e+00,2.04,-0.06,0.06
-8.349600e+00,1.96,-0.04,0.08
-8.349200e+00,2,-0.06,0.06
-8.348800e+00,2,-0.04,0.06
-8.348400e+00,2,-0.04,0.06
-8.348000e+00,2,-0.06,0.08
-8.347600e+00,2.04,-0.04,0.06
-8.347200e+00,2,-0.02,0.08
-8.346800e+00,2,-0.04,0.06
-8.346400e+00,2.04,-0.04,0.06
-8.346000e+00,2,-0.02,0.06
-8.345600e+00,2,-0.06,0.06
-8.345200e+00,2.04,-0.04,0.08
-8.344800e+00,2,-0.04,0.08
-8.344400e+00,2,-0.06,0.04
-8.344000e+00,2.04,-0.04,0.06
-8.343600e+00,2,-0.06,0.06
-8.343200e+00,2,-0.04,0.06
-8.342800e+00,2,-0.04,0.06
-8.342400e+00,2,-0.04,0.06
-8.342000e+00,1.96,-0.04,0.08
-8.341600e+00,2.04,-0.04,0.08
-8.341200e+00,2,-0.04,0.08
-8.340800e+00,2,-0.04,0.06
-8.340400e+00,2.04,-0.04,0.06
-8.340000e+00,2,-0.02,0.06
-8.339600e+00,2,-0.04,0.08
-8.339200e+00,2.04,-0.04,0.08
-8.338800e+00,1.96,-0.04,0.1
-8.338400e+00,2,-0.04,0.06
-8.338000e+00,2,-0.06,0.06
-8.337600e+00,2,-0.04,0.06
-8.337200e+00,2.04,-0.02,0.06
-8.336800e+00,2,-0.04,0.08
-8.336400e+00,1.96,-0.06,0.08
-8.336000e+00,1.96,-0.04,0.04
-8.335600e+00,1.96,-0.04,0.08
-8.335200e+00,1.96,-0.04,0.06
-8.334800e+00,2,-0.06,0.06
-8.334400e+00,2,-0.06,0.04
-8.334000e+00,2.04,-0.02,0.08
-8.333600e+00,2,-0.04,0.08
-8.333200e+00,1.96,-0.02,0.08
-8.332800e+00,2,-0.04,0.08
-8.332400e+00,2.04,-0.02,0.08
-8.332000e+00,2,-0.06,0.06
-8.331600e+00,2,-0.04,0.06
-8.331200e+00,2,-0.04,0.06
-8.330800e+00,1.96,-0.04,0.08
-8.330400e+00,1.96,-0.06,0.06
-8.330000e+00,2,-0.04,0.08
-8.329600e+00,1.96,-0.04,0.06
-8.329200e+00,2,-0.04,0.06
-8.328800e+00,1.96,-0.04,0.06
-8.328400e+00,2.04,-0.06,0.06
-8.328000e+00,1.96,-0.04,0.06
-8.327600e+00,2,-0.04,0.08
-8.327200e+00,1.96,-0.04,0.08
-8.326800e+00,1.96,-0.04,0.06
-8.326400e+00,2.04,-0.04,0.08
-8.326000e+00,1.96,-0.04,0.08
-8.325600e+00,2,-0.04,0.06
-8.325200e+00,2,-0.04,0.08
-8.324800e+00,2,-0.04,0.06
-8.324400e+00,2,-0.06,0.06
-8.324000e+00,2,-0.04,0.04
-8.323600e+00,2.04,-0.04,0.06
-8.323200e+00,2,-0.04,0.08
-8.322800e+00,1.96,-0.02,0.06
-8.322400e+00,2,-0.04,0.08
-8.322000e+00,2,-0.04,0.06
-8.321600e+00,2,-0.04,0.06
-8.321200e+00,2,-0.02,0.06
-8.320800e+00,2,-0.06,0.04
-8.320400e+00,2,-0.06,0.06
-8.320000e+00,1.96,-0.04,0.06
-8.319600e+00,1.96,-0.04,0.06
-8.319200e+00,2,-0.04,0.06
-8.318800e+00,1.96,-0.04,0.06
-8.318400e+00,1.96,-0.04,0.04
-8.318000e+00,2,-0.04,0.08
-8.317600e+00,1.96,-0.02,0.06
-8.317200e+00,2.04,-0.04,0.06
-8.316800e+00,1.96,-0.04,0.1
-8.316400e+00,2,-0.04,0.06
-8.316000e+00,2,-0.08,0.04
-8.315600e+00,2,-0.04,0.06
-8.315200e+00,1.96,-0.06,0.08
-8.314800e+00,2,-0.04,0.04
-8.314400e+00,1.96,-0.02,0.06
-8.314000e+00,2.04,-0.04,0.06
-8.313600e+00,2,-0.04,0.04
-8.313200e+00,2,-0.04,0.08
-8.312800e+00,1.96,-0.04,0.06
-8.312400e+00,2,-0.04,0.04
-8.312000e+00,2,-0.04,0.1
-8.311600e+00,2,-0.06,0.06
-8.311200e+00,2.04,-0.04,0.06
-8.310800e+00,2,-0.04,0.06
-8.310400e+00,2.04,-0.04,0.08
-8.310000e+00,2,-0.06,0.06
-8.309600e+00,2,-0.04,0.06
-8.309200e+00,2,-0.04,0.06
-8.308800e+00,2,-0.06,0.04
-8.308400e+00,1.96,-0.06,0.06
-8.308000e+00,2,-0.04,0.06
-8.307600e+00,1.96,-0.04,0.06
-8.307200e+00,1.96,-0.04,0.08
-8.306800e+00,1.96,-0.02,0.06
-8.306400e+00,2,-0.04,0.06
-8.306000e+00,1.96,-0.04,0.06
-8.305600e+00,2,-0.04,0.06
-8.305200e+00,2.04,-0.02,0.06
-8.304800e+00,2,-0.04,0.06
-8.304400e+00,2,-0.04,0.06
-8.304000e+00,2,-0.04,0.06
-8.303600e+00,2,-0.04,0.08
-8.303200e+00,2,-0.04,0.06
-8.302800e+00,2,-0.04,0.06
-8.302400e+00,2,-0.04,0.08
-8.302000e+00,2,-0.04,0.06
-8.301600e+00,2,-0.06,0.06
-8.301200e+00,2,-0.06,0.06
-8.300800e+00,2,-0.04,0.06
-8.300400e+00,1.96,-0.04,0.04
-8.300000e+00,1.96,-0.04,0.08
-8.299600e+00,1.96,-0.04,0.06
-8.299200e+00,2.04,-0.04,0.06
-8.298800e+00,2,-0.04,0.06
-8.298400e+00,2,-0.04,0.08
-8.298000e+00,1.96,-0.04,0.06
-8.297600e+00,2,-0.02,0.06
-8.297200e+00,2,-0.04,0.06
-8.296800e+00,2,-0.04,0.06
-8.296400e+00,2.04,-0.06,0.06
-8.296000e+00,2,-0.04,0.06
-8.295600e+00,2.04,-0.06,0.06
-8.295200e+00,2.04,-0.04,0.06
-8.294800e+00,1.96,-0.08,0.06
-8.294400e+00,1.96,-0.02,0.06
-8.294000e+00,1.96,-0.04,0.06
-8.293600e+00,2,-0.06,0.06
-8.293200e+00,2,-0.04,0.06
-8.292800e+00,2,-0.06,0.04
-8.292400e+00,2,-0.04,0.06
-8.292000e+00,2,-0.04,0.04
-8.291600e+00,2.04,-0.04,0.06
-8.291200e+00,2,-0.04,0.06
-8.290800e+00,2,-0.06,0.06
-8.290400e+00,2,-0.04,0.06
-8.290000e+00,2.04,-0.04,0.06
-8.289600e+00,2.04,-0.04,0.06
-8.289200e+00,2,-0.06,0.08
-8.288800e+00,2,-0.02,0.08
-8.288400e+00,1.96,-0.02,0.08
-8.288000e+00,2,-0.04,0.06
-8.287600e+00,2,-0.04,0.06
-8.287200e+00,1.96,-0.04,0.06
-8.286800e+00,1.96,-0.02,0.06
-8.286400e+00,2,-0.04,0.08
-8.286000e+00,2.04,-0.02,0.04
-8.285600e+00,2,-0.06,0.06
